ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
9164870,12:14,906919,300000,10000185,mbus,160333,mkt,105.959,106.244,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,317877
8286546,12:14,906920,575000,10000204,mbus,153924,mkt,108.81,109.045,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,625657.5
8858880,12:14,906921,150000,10000258,mbus,147260,mkt,105.544,105.876,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,158316
11182450,12:14,906922,130000,10000165,mbus,132995,mkt,103.372,103.704,                                                                                                                                                                                                                                                                ,1,0,1312,1365,us,134383.6
9165960,12:14,906924,100000,10000312,mbus,153082,mkt,107.306,107.717,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,107306
13926823,12:14,906925,100000,10000206,mbus,153083,mkt,103.488,103.566,                                                                                                                                                                                                                                                                ,1,0,1315,1368,us,103488
9112710,12:14,906926,100000,10000312,mbus,162749,mkt,104.938,105.208,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,104938
10048586,12:14,906927,125000,10000198,mbus,162295,mkt,105.132,105.525,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,131415
10049470,12:14,906928,100000,10000189,mbus,142280,mkt,101.683,101.846,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,101683
8328350,12:14,906929,145000,10000165,mbus,144259,mkt,100.152,100.162,                                                                                                                                                                                                                                                                ,1,0,1324,1377,us,145220.4
10050213,12:14,906930,280000,10000193,mbus,152543,mkt,103.29,103.466,                                                                                                                                                                                                                                                                ,1,0,1315,1368,us,289212
8759100,12:14,906931,135000,10000195,mbus,162661,mkt,107.602,107.874,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,145262.7
10031140,12:14,906932,90000,10000198,mbus,130655,mkt,103.129,103.48,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,92816.1
5664280,13:02,906936,6975000,10000350,cbus,155555,mkt,91.142,91.4037,                                                                                                                                                                                                                                                                ,1,0,1339,1392,us,6357154.5
30840,16:13,907451,50000,10000200,tnus,160001,mkt,100.0039063,100.3203,                                                                                                                                                                                                                                                                ,1,0,1461,1462,us,50001.95313
61733,16:34,907452,50000,10000167,tnus,160864,MKT,100.640625,100.875,                                                                                                                                                                                                                                                                ,1,0,1461,1462,us,50320.3125
1857390,9:29,907537,1500000,10000353,cbus,155558,mkt,96.02,98.7169,                                                                                                                                                                                                                                                                ,1,0,1335,1388,us,1440300
28360,10:37,907564,75000,10000173,tnus,168976,mkt,101.1015625,101.0964,                                                                                                                                                                                                                                                                ,1,0,1461,1462,us,75826.17188
